17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[19]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[20]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[20]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[21]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[21]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[22]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:45	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[22]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[23]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[23]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[24]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[24]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[25]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[25]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:46	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[26]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[26]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[27]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[27]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[28]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[28]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:47	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[29]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[29]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[32]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[32]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[33]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[33]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[34]/td[1]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for ZAPPY Form Details
17/08/2017 23:49:48	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: //*[@id='tblBody']/tr[34]/td[2]' element on 'On-Boarding - Zappy Energy' page
17/08/2017 23:50:13	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Get text for Successfull Entry Page
17/08/2017 23:50:13	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Successfully find 'By.xpath: /html/body/div[2]/section/h1' element on 'Result - Zappy Energy' page
17/08/2017 23:50:19	INFO 	ZAPPY_Automation_Demo-HOOQ_Web_ActiveUser_AddingFavouriteMovies_1		Stopping the class
